initial,rank,total,question,final
1500,13191,21633,1,1427
1427,11001,21911,1,1421
1421,8816,20171,1,1427
1427,11639,21066,1,1410
1410,8823,23589,1,1423
1423,11952,24973,1,1424
1424,13071,20075,0,1385
1385,8055,20877,1,1393
1393,14041,23398,1,1377
1377,8674,19748,2,1380
1380,8001,20633,2,1406
1406,9650,22819,1,1419
1419,5743,18941,1,1444
1444,4652,21766,3,1491
1491,7260,20861,2,1505
1505,4711,15664,3,1521
1521,4025,17826,3,1557
1557,6284,19626,2,1567
1567,5763,17080,2,1569
1569,2446,17634,3,1619
1619,4384,16930,2,1628
1628,4939,16156,1,1631
1631,1825,22070,3,1680
1680,6138,21918,2,1680
1680,6056,22237,2,1681
1681,2785,20946,2,1702
1700,4835,16047,3,1703
1703,5701,21232,2,1701
1701,3177,23367,2,1723
1723,3947,22489,2,1738
1738,7376,24098,1,1728
1728,3500,22683,3,1741
1741,1441,21701,2,1792
1792,3845,22907,3,1801
1801,1891,21263,3,1829
1829,3061,21834,3,1844
